FundCode,FundName
015937,信诚鼎利混合(LOF)C
013446,东财芯片C
007490,南方信息创新混合A
165528,信诚鼎利混合(LOF)A
013171,华夏恒生互联网科技业ETF联接(QDII)A
017811,东方人工智能主题混合C
007872,金信稳健策略灵活配置混合
013172,华夏恒生互联网科技业ETF联接(QDII)C
005223,广发中证基建工程ETF联接A
002256,金信行业优选混合发起式
005628,汇安趋势动力股票A
006025,诺安优化配置混合
017559,华安上证科创板芯片ETF发起式联接A
005224,广发中证基建工程ETF联接C
014855,嘉实中证半导体指数增强发起式C
007491,南方信息创新混合C
014194,汇添富中证芯片产业指数增强发起C
012552,天弘中证芯片产业指数A
017560,华安上证科创板芯片ETF发起式联接C
001574,中海混改红利混合
013445,东财芯片A
013841,银华集成电路混合C
013082,信诚中证基建工程指数(LOF)C
014193,汇添富中证芯片产业指数增强发起A
013840,银华集成电路混合A
014854,嘉实中证半导体指数增强发起式A
012553,天弘中证芯片产业指数C
005629,汇安趋势动力股票C
005844,东方人工智能主题混合A
165525,信诚中证基建工程指数(LOF)A
