FundCode,FundName,TradingDay,NetWorth
007872,金信稳健策略灵活配置混合,2023-03-03,1.5741
007872,金信稳健策略灵活配置混合,2023-03-02,1.5336
007872,金信稳健策略灵活配置混合,2023-03-01,1.5512
007872,金信稳健策略灵活配置混合,2023-02-28,1.541
007872,金信稳健策略灵活配置混合,2023-02-27,1.5458
007872,金信稳健策略灵活配置混合,2023-02-24,1.5647
007872,金信稳健策略灵活配置混合,2023-02-23,1.5646
007872,金信稳健策略灵活配置混合,2023-02-22,1.5752
007872,金信稳健策略灵活配置混合,2023-02-21,1.5679
007872,金信稳健策略灵活配置混合,2023-02-20,1.566
007872,金信稳健策略灵活配置混合,2023-02-17,1.5574
007872,金信稳健策略灵活配置混合,2023-02-16,1.62
007872,金信稳健策略灵活配置混合,2023-02-15,1.651
007872,金信稳健策略灵活配置混合,2023-02-14,1.6069
007872,金信稳健策略灵活配置混合,2023-02-13,1.6145
007872,金信稳健策略灵活配置混合,2023-02-10,1.5986
007872,金信稳健策略灵活配置混合,2023-02-09,1.6209
007872,金信稳健策略灵活配置混合,2023-02-08,1.5444
007872,金信稳健策略灵活配置混合,2023-02-07,1.5596
007872,金信稳健策略灵活配置混合,2023-02-06,1.5828
007872,金信稳健策略灵活配置混合,2023-02-03,1.6052
007872,金信稳健策略灵活配置混合,2023-02-02,1.599
007872,金信稳健策略灵活配置混合,2023-02-01,1.558
007872,金信稳健策略灵活配置混合,2023-01-31,1.5236
007872,金信稳健策略灵活配置混合,2023-01-30,1.5721
007872,金信稳健策略灵活配置混合,2023-01-20,1.5928
007872,金信稳健策略灵活配置混合,2023-01-19,1.6067
007872,金信稳健策略灵活配置混合,2023-01-18,1.5704
007872,金信稳健策略灵活配置混合,2023-01-17,1.5847
007872,金信稳健策略灵活配置混合,2023-01-16,1.5288
007872,金信稳健策略灵活配置混合,2023-01-13,1.4952
007872,金信稳健策略灵活配置混合,2023-01-12,1.5042
007872,金信稳健策略灵活配置混合,2023-01-11,1.5081
007872,金信稳健策略灵活配置混合,2023-01-10,1.5342
007872,金信稳健策略灵活配置混合,2023-01-09,1.5166
007872,金信稳健策略灵活配置混合,2023-01-06,1.5122
007872,金信稳健策略灵活配置混合,2023-01-05,1.5113
007872,金信稳健策略灵活配置混合,2023-01-04,1.5054
007872,金信稳健策略灵活配置混合,2023-01-03,1.555
007872,金信稳健策略灵活配置混合,2022-12-30,1.507
007872,金信稳健策略灵活配置混合,2022-12-29,1.513
007872,金信稳健策略灵活配置混合,2022-12-28,1.517
007872,金信稳健策略灵活配置混合,2022-12-27,1.5217
007872,金信稳健策略灵活配置混合,2022-12-26,1.484
007872,金信稳健策略灵活配置混合,2022-12-23,1.4231
007872,金信稳健策略灵活配置混合,2022-12-22,1.4713
007872,金信稳健策略灵活配置混合,2022-12-21,1.4927
007872,金信稳健策略灵活配置混合,2022-12-20,1.5192
007872,金信稳健策略灵活配置混合,2022-12-19,1.5299
007872,金信稳健策略灵活配置混合,2022-12-16,1.5594
007872,金信稳健策略灵活配置混合,2022-12-15,1.6058
007872,金信稳健策略灵活配置混合,2022-12-14,1.6005
007872,金信稳健策略灵活配置混合,2022-12-13,1.5982
007872,金信稳健策略灵活配置混合,2022-12-12,1.6506
007872,金信稳健策略灵活配置混合,2022-12-09,1.6364
007872,金信稳健策略灵活配置混合,2022-12-08,1.6165
007872,金信稳健策略灵活配置混合,2022-12-07,1.646
007872,金信稳健策略灵活配置混合,2022-12-06,1.6671
007872,金信稳健策略灵活配置混合,2022-12-05,1.6205
007872,金信稳健策略灵活配置混合,2022-12-02,1.655
007872,金信稳健策略灵活配置混合,2022-12-01,1.6406
007872,金信稳健策略灵活配置混合,2022-11-30,1.6103
007872,金信稳健策略灵活配置混合,2022-11-29,1.6168
007872,金信稳健策略灵活配置混合,2022-11-28,1.6521
007872,金信稳健策略灵活配置混合,2022-11-25,1.6719
007872,金信稳健策略灵活配置混合,2022-11-24,1.6932
007872,金信稳健策略灵活配置混合,2022-11-23,1.6935
007872,金信稳健策略灵活配置混合,2022-11-22,1.6826
007872,金信稳健策略灵活配置混合,2022-11-21,1.7062
007872,金信稳健策略灵活配置混合,2022-11-18,1.6936
007872,金信稳健策略灵活配置混合,2022-11-17,1.7261
007872,金信稳健策略灵活配置混合,2022-11-16,1.688
007872,金信稳健策略灵活配置混合,2022-11-15,1.7275
007872,金信稳健策略灵活配置混合,2022-11-14,1.6601
007872,金信稳健策略灵活配置混合,2022-11-11,1.6937
007872,金信稳健策略灵活配置混合,2022-11-10,1.6697
