FundCode,FundName,TradingDay,NetWorth
015937,信诚鼎利混合(LOF)C,2022-06-10,1.2077
015937,信诚鼎利混合(LOF)C,2022-06-13,1.2057
015937,信诚鼎利混合(LOF)C,2022-06-14,1.1904
015937,信诚鼎利混合(LOF)C,2022-06-15,1.1836
015937,信诚鼎利混合(LOF)C,2022-06-16,1.2095
015937,信诚鼎利混合(LOF)C,2022-06-17,1.2245
015937,信诚鼎利混合(LOF)C,2022-06-20,1.2301
015937,信诚鼎利混合(LOF)C,2022-06-21,1.2143
015937,信诚鼎利混合(LOF)C,2022-06-22,1.2146
015937,信诚鼎利混合(LOF)C,2022-06-23,1.2613
015937,信诚鼎利混合(LOF)C,2022-06-24,1.2701
015937,信诚鼎利混合(LOF)C,2022-06-27,1.276
015937,信诚鼎利混合(LOF)C,2022-06-28,1.3083
015937,信诚鼎利混合(LOF)C,2022-06-29,1.2662
015937,信诚鼎利混合(LOF)C,2022-06-30,1.2996
015937,信诚鼎利混合(LOF)C,2022-07-01,1.2921
015937,信诚鼎利混合(LOF)C,2022-07-04,1.2901
015937,信诚鼎利混合(LOF)C,2022-07-05,1.2925
015937,信诚鼎利混合(LOF)C,2022-07-06,1.3032
015937,信诚鼎利混合(LOF)C,2022-07-07,1.3307
015937,信诚鼎利混合(LOF)C,2022-07-08,1.329
015937,信诚鼎利混合(LOF)C,2022-07-11,1.3043
015937,信诚鼎利混合(LOF)C,2022-07-12,1.2672
015937,信诚鼎利混合(LOF)C,2022-07-13,1.2655
015937,信诚鼎利混合(LOF)C,2022-07-14,1.3028
015937,信诚鼎利混合(LOF)C,2022-07-15,1.3075
015937,信诚鼎利混合(LOF)C,2022-07-18,1.3012
015937,信诚鼎利混合(LOF)C,2022-07-19,1.2809
015937,信诚鼎利混合(LOF)C,2022-07-20,1.3051
015937,信诚鼎利混合(LOF)C,2022-07-21,1.3086
015937,信诚鼎利混合(LOF)C,2022-07-22,1.3059
015937,信诚鼎利混合(LOF)C,2022-07-25,1.2811
015937,信诚鼎利混合(LOF)C,2022-07-26,1.2957
015937,信诚鼎利混合(LOF)C,2022-07-27,1.3266
015937,信诚鼎利混合(LOF)C,2022-07-28,1.3316
015937,信诚鼎利混合(LOF)C,2022-07-29,1.331
015937,信诚鼎利混合(LOF)C,2022-08-01,1.3497
015937,信诚鼎利混合(LOF)C,2022-08-02,1.3501
015937,信诚鼎利混合(LOF)C,2022-08-03,1.3491
015937,信诚鼎利混合(LOF)C,2022-08-04,1.3475
015937,信诚鼎利混合(LOF)C,2022-08-05,1.3822
015937,信诚鼎利混合(LOF)C,2022-08-08,1.3792
015937,信诚鼎利混合(LOF)C,2022-08-09,1.3963
015937,信诚鼎利混合(LOF)C,2022-08-10,1.405
015937,信诚鼎利混合(LOF)C,2022-08-11,1.4259
015937,信诚鼎利混合(LOF)C,2022-08-12,1.3801
015937,信诚鼎利混合(LOF)C,2022-08-15,1.3872
015937,信诚鼎利混合(LOF)C,2022-08-16,1.4027
015937,信诚鼎利混合(LOF)C,2022-08-17,1.4083
015937,信诚鼎利混合(LOF)C,2022-08-18,1.4346
015937,信诚鼎利混合(LOF)C,2022-08-19,1.3887
015937,信诚鼎利混合(LOF)C,2022-08-22,1.385
015937,信诚鼎利混合(LOF)C,2022-08-23,1.3852
015937,信诚鼎利混合(LOF)C,2022-08-24,1.3134
015937,信诚鼎利混合(LOF)C,2022-08-25,1.297
