fund_code,fund_name,return,avg_return,sharpe,drawdown,2023_return,2022_return,2021_return,2020_return,2019_return,2018_return,2017_return,2016_return,2015_return,2023_sharpe,2022_sharpe,2021_sharpe,2020_sharpe,2019_sharpe,2018_sharpe,2017_sharpe,2016_sharpe,2015_sharpe,2023_drawdown,2022_drawdown,2021_drawdown,2020_drawdown,2019_drawdown,2018_drawdown,2017_drawdown,2016_drawdown,2015_drawdown
015937,信诚鼎利混合(LOF)C,0.022,0.031,-0.01301698081610765,0.18021638330757347,-0.005,0.027,,,,,,,,-0.2838917221063966,0.12493531039213833,,,,,,,,0.06752515090543248,0.18021638330757347,,,,,,,
013446,东财芯片C,0.267,0.206,0.8289738505298632,0.24772568229531142,-0.044,0.33,-0.018,,,,,,,-1.8113187812400833,1.5237349685331718,-0.9333110343318572,,,,,,,0.10441503995807677,-1,0.08790603780510195,,,,,,
007490,南方信息创新混合A,-0.463,-0.136,-0.38085974073692935,0.5721096543504172,-0.063,0.817,-0.075,-0.675,-0.467,,,,,-1.0698270989104843,1.773243682788437,-0.3104904758771727,-0.9350160686457714,-3.014459485899926,,,,,0.09015004080607694,-1,0.24731823599523237,0.3988242821722786,0.29358520267611177,,,,
165528,信诚鼎利混合(LOF)A,-0.191,-0.03,-0.26373017053071235,0.5716723549488054,-0.007,0.406,0.007,-0.642,-0.165,0.232,-0.009,-0.013,,-0.33182183681400534,1.0689576506578313,-0.17317356458531316,-1.9443362452239397,-1.639987505553691,1.4779700071235387,-0.23578148193055135,-1.4678147059219935,,0.06837675350701415,-1,0.28270762229806606,0.4197773411918795,0.17423442449841597,0.09054726368159191,0.15827338129496404,0.0224828934506353,
013171,华夏恒生互联网科技业ETF联接(QDII)A,0.268,0.193,0.5210390166797082,0.3795248165194675,0.033,0.121,0.114,,,,,,,0.737330603532455,0.3272880721942877,1.5458704655678006,,,,,,,0.06829207612887168,0.34219653179190757,0.08800300864986849,,,,,,
017811,东方人工智能主题混合C,-0.031,-1.112,-4.2722865282500795,0.04999999999999989,-0.031,,,,,,,,,-4.2722865282500795,,,,,,,,,0.04999999999999989,,,,,,,,
007872,金信稳健策略灵活配置混合,-0.556,-0.184,-0.39438573458011256,0.6120856877793708,-0.019,0.422,-0.491,-0.468,,,,,,-0.36672010496035734,0.7883432181240715,-0.8124866945180301,-0.9291073219610031,,,,,,0.09436705027256205,0.3896162078749565,0.46314413426667794,0.3765503219247712,,,,,
013172,华夏恒生互联网科技业ETF联接(QDII)C,0.271,0.196,0.5303723474795082,0.3790906819885086,0.033,0.123,0.114,,,,,,,0.745918600071671,0.33449090958719874,1.5595955792977425,,,,,,,0.0681988508618536,0.3416386603314404,0.08783974419260786,,,,,,
005223,广发中证基建工程ETF联接A,0.098,0.02,-0.034082418893723355,0.3078429351746883,-0.108,0.091,-0.168,0.061,-0.036,0.258,,,,-4.9607433450103535,0.41015446473589356,-1.1885054299678226,0.25608118250049927,-0.2830977716861552,1.6304212858714695,,,,0.12304795658433944,0.15347096188747741,0.2992888797279193,0.18047589993898722,0.2109559613319012,0.12576936476599693,,,
002256,金信行业优选混合发起式,-0.856,-0.132,-0.35519636222406836,0.7802469135802468,-0.028,0.534,-0.522,-0.832,-0.388,0.369,-0.017,0.028,,-0.4282688344360222,0.8300694906529068,-0.7461242646459175,-1.8248863309295704,-1.9270381014183824,1.948164021162769,-0.20390942908043355,0.1348103228078084,,0.09342915811088293,0.3914501257334451,0.45502645502645506,0.4607789358200768,0.42421441774491686,0.13640922768304917,0.18973418881759851,0.09375000000000008,
