year,month,fund_name,return
2018,04,汇安趋势动力股票A,-0.001
2018,05,汇安趋势动力股票A,-0.002
2018,06,汇安趋势动力股票A,0.007
2018,07,汇安趋势动力股票A,0.001
2018,08,汇安趋势动力股票A,0.029
2018,09,汇安趋势动力股票A,0.007
2018,10,汇安趋势动力股票A,0.002
2018,11,汇安趋势动力股票A,-0.021
2018,12,汇安趋势动力股票A,0.066
2019,01,汇安趋势动力股票A,-0.029
2019,02,汇安趋势动力股票A,-0.119
2019,03,汇安趋势动力股票A,-0.137
2019,04,汇安趋势动力股票A,0.171
2019,05,汇安趋势动力股票A,-0.023
2019,06,汇安趋势动力股票A,-0.035
2019,07,汇安趋势动力股票A,0.037
2019,08,汇安趋势动力股票A,-0.067
2019,09,汇安趋势动力股票A,0.045
2019,10,汇安趋势动力股票A,-0.004
2019,11,汇安趋势动力股票A,0.025
2019,12,汇安趋势动力股票A,-0.107
2020,01,汇安趋势动力股票A,0.13
2020,02,汇安趋势动力股票A,-0.162
2020,03,汇安趋势动力股票A,0.082
2020,04,汇安趋势动力股票A,-0.067
2020,05,汇安趋势动力股票A,-0.027
2020,06,汇安趋势动力股票A,-0.08
2020,07,汇安趋势动力股票A,-0.123
2020,08,汇安趋势动力股票A,0.084
2020,09,汇安趋势动力股票A,0.041
2020,10,汇安趋势动力股票A,0.054
2020,11,汇安趋势动力股票A,-0.076
2020,12,汇安趋势动力股票A,-0.167
2021,01,汇安趋势动力股票A,-0.028
2021,02,汇安趋势动力股票A,0.103
2021,03,汇安趋势动力股票A,0.137
2021,04,汇安趋势动力股票A,-0.032
2021,05,汇安趋势动力股票A,-0.097
2021,06,汇安趋势动力股票A,-0.137
2021,07,汇安趋势动力股票A,-0.2
2021,08,汇安趋势动力股票A,-0.08
2021,09,汇安趋势动力股票A,0.116
2021,10,汇安趋势动力股票A,-0.151
2021,11,汇安趋势动力股票A,-0.097
2021,12,汇安趋势动力股票A,0.131
2022,01,汇安趋势动力股票A,0.2
2022,02,汇安趋势动力股票A,-0.047
2022,03,汇安趋势动力股票A,0.169
2022,04,汇安趋势动力股票A,0.184
2022,05,汇安趋势动力股票A,-0.155
2022,06,汇安趋势动力股票A,-0.162
2022,07,汇安趋势动力股票A,-0.029
2022,08,汇安趋势动力股票A,0.158
2022,09,汇安趋势动力股票A,0.176
2022,10,汇安趋势动力股票A,-0.111
2022,11,汇安趋势动力股票A,0.131
2022,12,汇安趋势动力股票A,0.093
2023,01,汇安趋势动力股票A,-0.032
2023,02,汇安趋势动力股票A,-0.012
2023,03,汇安趋势动力股票A,-0.026
